date,sales
2023-01-01,114.0
2023-01-02,112.0
2023-01-03,140.0
2023-01-04,138.0
2023-01-05,137.0
2023-01-06,147.0
2023-01-07,151.0
2023-01-08,144.0
2023-01-09,150.0
2023-01-10,148.0
2023-01-11,143.0
2023-01-12,146.0
2023-01-13,140.0
2023-01-14,136.0
2023-01-15,140.0
2023-01-16,141.0
2023-01-17,117.0
2023-01-18,127.0
2023-01-19,116.0
2023-01-20,139.0
2023-01-21,116.0
2023-01-22,97.0
2023-01-23,111.0
2023-01-24,123.0
2023-01-25,112.0
2023-01-26,119.0
2023-01-27,126.0
2023-01-28,123.0
2023-01-29,124.0
2023-01-30,129.0
2023-01-31,153.0
2023-02-01,145.0
2023-02-02,150.0
2023-02-03,157.0
2023-02-04,148.0
2023-02-05,168.0
2023-02-06,168.0
2023-02-07,165.0
2023-02-08,163.0
2023-02-09,167.0
2023-02-10,161.0
2023-02-11,151.0
2023-02-12,159.0
2023-02-13,150.0
2023-02-14,163.0
2023-02-15,151.0
2023-02-16,150.0
2023-02-17,134.0
2023-02-18,150.0
2023-02-19,129.0
2023-02-20,143.0
2023-02-21,142.0
2023-02-22,135.0
2023-02-23,135.0
2023-02-24,138.0
2023-02-25,135.0
2023-02-26,139.0
2023-02-27,134.0
2023-02-28,149.0
2023-03-01,165.0
2023-03-02,158.0
2023-03-03,165.0
2023-03-04,158.0
2023-03-05,173.0
2023-03-06,167.0
2023-03-07,184.0
2023-03-08,192.0
2023-03-09,199.0
2023-03-10,199.0
2023-03-11,197.0
2023-03-12,186.0
2023-03-13,185.0
2023-03-14,164.0
2023-03-15,167.0
2023-03-16,175.0
2023-03-17,174.0
2023-03-18,177.0
2023-03-19,167.0
2023-03-20,168.0
2023-03-21,150.0
2023-03-22,145.0
2023-03-23,163.0
2023-03-24,157.0
2023-03-25,158.0
2023-03-26,152.0
2023-03-27,164.0
2023-03-28,143.0
2023-03-29,166.0
2023-03-30,167.0
2023-03-31,168.0
2023-04-01,177.0
2023-04-02,187.0
2023-04-03,170.0
2023-04-04,199.0
2023-04-05,187.0
2023-04-06,189.0
2023-04-07,191.0
2023-04-08,205.0
2023-04-09,209.0
2023-04-10,202.0
2023-04-11,203.0
2023-04-12,213.0
2023-04-13,189.0
2023-04-14,186.0
2023-04-15,198.0
2023-04-16,189.0
2023-04-17,190.0
2023-04-18,173.0
2023-04-19,180.0
2023-04-20,178.0
2023-04-21,178.0
2023-04-22,160.0
2023-04-23,160.0
2023-04-24,180.0
2023-04-25,166.0
2023-04-26,172.0
2023-04-27,178.0
2023-04-28,186.0
2023-04-29,200.0
2023-04-30,182.0
2023-05-01,206.0
2023-05-02,212.0
2023-05-03,204.0
2023-05-04,210.0
2023-05-05,221.0
2023-05-06,219.0
2023-05-07,230.0
2023-05-08,224.0
2023-05-09,202.0
2023-05-10,221.0
2023-05-11,217.0
2023-05-12,216.0
2023-05-13,211.0
2023-05-14,210.0
2023-05-15,212.0
2023-05-16,183.0
2023-05-17,205.0
2023-05-18,195.0
2023-05-19,180.0
2023-05-20,188.0
2023-05-21,190.0
2023-05-22,188.0
2023-05-23,199.0
2023-05-24,188.0
2023-05-25,202.0
2023-05-26,189.0
2023-05-27,204.0
2023-05-28,213.0
2023-05-29,198.0
2023-05-30,216.0
2023-05-31,206.0
2023-06-01,219.0
2023-06-02,225.0
2023-06-03,218.0
2023-06-04,231.0
2023-06-05,237.0
2023-06-06,233.0
2023-06-07,236.0
2023-06-08,241.0
2023-06-09,249.0
2023-06-10,240.0
2023-06-11,240.0
2023-06-12,241.0
2023-06-13,230.0
2023-06-14,232.0
2023-06-15,211.0
2023-06-16,222.0
2023-06-17,219.0
2023-06-18,218.0
2023-06-19,216.0
2023-06-20,215.0
2023-06-21,205.0
2023-06-22,206.0
2023-06-23,217.0
2023-06-24,214.0
2023-06-25,213.0
2023-06-26,202.0
2023-06-27,225.0
2023-06-28,244.0
2023-06-29,234.0
2023-06-30,220.0
2023-07-01,235.0
2023-07-02,246.0
2023-07-03,249.0
2023-07-04,248.0
2023-07-05,248.0
2023-07-06,249.0
2023-07-07,261.0
2023-07-08,256.0
2023-07-09,256.0
2023-07-10,249.0
2023-07-11,254.0
2023-07-12,255.0
2023-07-13,252.0
2023-07-14,244.0
2023-07-15,262.0
2023-07-16,244.0
2023-07-17,230.0
2023-07-18,230.0
2023-07-19,227.0
2023-07-20,225.0
2023-07-21,223.0
2023-07-22,225.0
2023-07-23,237.0
2023-07-24,227.0
2023-07-25,223.0
2023-07-26,227.0
2023-07-27,252.0
2023-07-28,241.0
2023-07-29,239.0
2023-07-30,258.0
2023-07-31,268.0
2023-08-01,278.0
2023-08-02,279.0
2023-08-03,264.0
2023-08-04,283.0
2023-08-05,271.0
2023-08-06,273.0
2023-08-07,289.0
2023-08-08,282.0
2023-08-09,283.0
2023-08-10,276.0
2023-08-11,265.0
2023-08-12,280.0
2023-08-13,252.0
2023-08-14,255.0
2023-08-15,257.0
2023-08-16,265.0
2023-08-17,256.0
2023-08-18,239.0
2023-08-19,244.0
2023-08-20,249.0
2023-08-21,247.0
2023-08-22,242.0
2023-08-23,234.0
2023-08-24,238.0
2023-08-25,261.0
2023-08-26,266.0
2023-08-27,255.0
2023-08-28,267.0
2023-08-29,282.0
2023-08-30,282.0
2023-08-31,305.0
2023-09-01,279.0
2023-09-02,296.0
2023-09-03,298.0
2023-09-04,306.0
2023-09-05,288.0
2023-09-06,291.0
2023-09-07,288.0
2023-09-08,284.0
2023-09-09,304.0
2023-09-10,294.0
2023-09-11,281.0
2023-09-12,301.0
2023-09-13,281.0
2023-09-14,272.0
2023-09-15,273.0
2023-09-16,273.0
2023-09-17,259.0
2023-09-18,275.0
2023-09-19,268.0
2023-09-20,251.0
2023-09-21,254.0
2023-09-22,276.0
2023-09-23,269.0
2023-09-24,281.0
2023-09-25,283.0
2023-09-26,293.0
2023-09-27,278.0
2023-09-28,295.0
2023-09-29,287.0
2023-09-30,301.0
2023-10-01,305.0
2023-10-02,307.0
2023-10-03,313.0
2023-10-04,316.0
2023-10-05,318.0
2023-10-06,304.0
2023-10-07,309.0
2023-10-08,323.0
2023-10-09,305.0
2023-10-10,303.0
2023-10-11,312.0
2023-10-12,302.0
2023-10-13,293.0
2023-10-14,306.0
2023-10-15,301.0
2023-10-16,283.0
2023-10-17,288.0
2023-10-18,288.0
2023-10-19,285.0
2023-10-20,283.0
2023-10-21,294.0
2023-10-22,282.0
2023-10-23,301.0
2023-10-24,286.0
2023-10-25,282.0
2023-10-26,303.0
2023-10-27,305.0
2023-10-28,299.0
2023-10-29,298.0
2023-10-30,307.0
2023-10-31,328.0
2023-11-01,326.0
2023-11-02,329.0
2023-11-03,326.0
2023-11-04,353.0
2023-11-05,340.0
2023-11-06,322.0
2023-11-07,349.0
2023-11-08,333.0
2023-11-09,333.0
2023-11-10,318.0
2023-11-11,320.0
2023-11-12,334.0
2023-11-13,320.0
2023-11-14,319.0
2023-11-15,319.0
2023-11-16,301.0
2023-11-17,295.0
2023-11-18,303.0
2023-11-19,297.0
2023-11-20,306.0
2023-11-21,298.0
2023-11-22,303.0
2023-11-23,310.0
2023-11-24,301.0
2023-11-25,332.0
2023-11-26,319.0
2023-11-27,320.0
2023-11-28,334.0
2023-11-29,319.0
2023-11-30,348.0
2023-12-01,350.0
2023-12-02,363.0
2023-12-03,339.0
2023-12-04,361.0
2023-12-05,342.0
2023-12-06,355.0
2023-12-07,344.0
2023-12-08,354.0
2023-12-09,358.0
2023-12-10,348.0
2023-12-11,343.0
2023-12-12,331.0
2023-12-13,314.0
2023-12-14,334.0
2023-12-15,309.0
2023-12-16,316.0
2023-12-17,326.0
2023-12-18,323.0
2023-12-19,331.0
2023-12-20,316.0
2023-12-21,343.0
2023-12-22,308.0
2023-12-23,332.0
2023-12-24,339.0
2023-12-25,328.0
2023-12-26,343.0
2023-12-27,334.0
2023-12-28,351.0
2023-12-29,358.0
2023-12-30,357.0
2023-12-31,372.0
